Max_Amp,tDrift50,tDrift90,tDrift100,blnoise,tslope,Energy
5996.0000,84.0000,94.0000,116.0000,2.9780,-113.8380,2244.7334
631.0000,73.0000,81.0000,90.0000,4.2114,-107.6826,221.0675
1016.0000,54.0000,71.0000,122.0000,4.5691,-110.8227,368.7899
893.0000,84.0000,93.0000,107.0000,1.7078,-112.0801,335.5138
1171.0000,60.0000,77.0000,122.0000,5.2439,-110.5361,433.4741
1433.0000,97.0000,110.0000,126.0000,3.2439,-124.8132,524.8818
1434.0000,57.0000,66.0000,79.0000,1.5758,-112.5388,510.8030
1545.0000,87.0000,95.0000,123.0000,3.4069,-111.1229,597.4477
673.0000,39.0000,48.0000,68.0000,3.3353,-109.6290,231.0347
1846.0000,111.0000,120.0000,135.0000,2.5648,-112.9689,706.4763
974.0000,88.0000,96.0000,113.0000,1.6140,-111.4913,323.9174
683.0000,88.0000,97.0000,120.0000,3.7353,-108.8099,249.0148
1378.0000,68.0000,78.0000,94.0000,1.9303,-113.6527,529.2472
915.0000,62.0000,70.0000,97.0000,2.0552,-109.6362,341.5155
788.0000,80.0000,89.0000,108.0000,4.5792,-110.8491,283.7300
1612.0000,33.0000,44.0000,61.0000,1.6828,-112.4374,582.6840
561.0000,61.0000,69.0000,99.0000,1.8116,-110.4882,209.8814
459.0000,73.0000,87.0000,101.0000,3.8790,-109.1862,165.7746
1091.0000,43.0000,51.0000,68.0000,1.9427,-113.4403,402.6300
662.0000,92.0000,102.0000,128.0000,6.6590,-108.3920,230.9006
